destination,time,goodput_mbps
server1,0.2,70.02048
server1,0.4,0.65536
server1,0.6,19.6608
server1,0.8,0.65536
server1,1.0,0.65536
server1,1.2,45.37536
server1,1.4,60.96128
server1,1.6,0.65536
server1,1.8,26.19616
server1,2.0,28.4304
server1,2.2,0.65536
server1,2.4,0.65536
server1,2.6,31.6224
server1,2.8,28.18048
server1,3.0,0.65536
server1,3.2,28.06464
server1,3.4,28.66208
server1,3.6,0.94496
server1,3.8,28.18048
server1,4.0,0.65536
server1,4.2,27.52512
server1,4.4,0.65536
server1,4.6,25.55904
server1,4.8,26.2144
server1,5.0,0.65536
server1,5.2,25.55904
server1,5.4,28.18048
server1,5.6,28.83584
server1,5.8,0.65536
server1,6.0,28.18048
server1,6.2,0.65536
server1,6.4,28.18048
server1,6.6,27.52512
server1,6.8,27.48864
server1,7.0,0.65536
server1,7.2,25.55904
server1,7.4,26.2144
server1,7.6,28.18048
server1,7.8,0.65536
server1,8.0,28.18048
server1,8.2,28.83584
server1,8.4,0.65536
server1,8.6,28.18048
server1,8.8,27.54336
server1,9.0,0.65536
server1,9.2,28.8176
server1,9.4,26.2144
server1,9.6,0.65536
server1,9.8,25.55904
server1,10.0,25.55904
server1,10.2,28.83584
server1,10.4,0.65536
server1,10.6,28.18048
server1,10.8,28.83584
server1,11.0,28.12256
server1,11.2,0.65536
server1,11.4,28.2384
server1,11.6,26.2144
server1,11.8,26.2144
server1,12.0,0.65536
server1,12.2,25.50112
server1,12.4,28.2384
server1,12.6,28.83584
server1,12.8,0.65536
server1,13.0,27.54336
server1,13.2,29.47296
server1,13.4,28.18048
server1,13.6,26.2144
server1,13.8,26.2144
server1,14.0,26.2144
server1,14.2,28.18048
server1,14.4,28.48832
server1,14.6,29.18336
server1,14.8,28.18048
server1,15.0,24.90368
server1,15.2,28.2416
server1,15.4,26.2144
server1,15.6,26.2144
server1,15.8,28.18048
server1,16.0,28.83584
server1,16.2,28.66208
server1,16.4,28.66208
server1,16.6,27.87264
server1,16.8,53.64512
server1,17.0,25.55904
server1,17.2,25.79072
server1,17.4,29.82048
server1,17.6,28.18048
server1,17.8,29.2992
server1,18.0,28.528
server1,18.2,28.83584
server1,18.4,26.2144
server1,18.6,52.4288
server1,18.8,28.00672
server1,19.0,29.0096
server1,19.2,28.83584
server1,19.4,28.83584
server1,19.6,28.18048
server1,19.8,26.2144
server1,20.0,26.2144
server1,20.2,51.77344
server1,20.4,28.83584
server1,20.6,28.18048
server1,20.8,29.5888
server1,21.0,28.18048
server1,21.2,26.2144
server1,21.4,52.4288
server1,21.6,28.18048
server1,21.8,28.83584
server1,22.0,28.83584
server1,22.2,28.83584
server1,22.4,27.52512
server1,22.6,27.48864
server1,22.8,26.2144
server1,23.0,26.2144
server1,23.2,57.01632
server1,23.4,28.83584
server1,23.6,28.83584
server1,23.8,28.18048
server1,24.0,28.83584
server1,24.2,26.2144
server1,24.4,26.04064
server1,24.6,25.7328
server1,24.8,28.25664
server1,25.0,29.41504
server1,25.2,28.83584
server1,25.4,28.00672
server1,25.6,29.0096
server1,25.8,26.2144
server1,26.0,26.2144
server1,26.2,25.75104
server1,26.4,57.47968
server1,26.6,0.65536
server1,26.8,28.18048
server1,27.0,57.01632
server1,27.2,26.2144
server1,27.4,26.2144
server1,27.6,25.98272
server1,27.8,25.79072
server1,28.0,28.83584
server1,28.2,28.83584
server1,28.4,28.83584
server1,28.6,27.52512
server1,28.8,27.48864
server1,29.0,52.4288
server1,29.2,28.18048
server1,29.4,28.83584
server1,29.6,28.83584
server1,29.8,28.4304
server1,30.0,27.52512
server1,30.2,27.43072
server1,30.4,26.2144
server1,30.6,26.15648
server1,30.8,54.4528
server1,31.0,28.83584
server1,31.2,28.18048
server1,31.4,28.2384
server1,31.6,29.76256
server1,31.8,26.2144
server1,32.0,25.55904
server1,32.2,29.1072
server1,32.4,27.83296
server1,32.6,29.64672
server1,32.8,57.8272
server1,33.0,28.83584
server1,33.2,26.2144
server1,33.4,26.2144
server1,33.6,26.2144
server1,33.8,28.18048
server1,34.0,28.83584
server1,34.2,28.83584
server1,34.4,28.83584
server1,34.6,28.18048
server1,34.8,51.77344
server1,35.0,29.5888
server1,35.2,28.528
server1,35.4,28.83584
server1,35.6,28.83584
server1,35.8,28.18048
server1,36.0,29.04928
server1,36.2,26.2144
server1,36.4,52.4288
server1,36.6,28.18048
server1,36.8,28.83584
server1,37.0,28.83584
server1,37.2,28.66208
server1,37.4,27.69888
server1,37.6,27.43072
server1,37.8,26.2144
server1,38.0,26.2144
server1,38.2,57.01632
server1,38.4,28.83584
server1,38.6,28.83584
server1,38.8,27.52512
server1,39.0,27.43072
server1,39.2,26.2144
server1,39.4,26.2144
server1,39.6,54.39488
server1,39.8,28.31456
server1,40.0,29.35712
server1,40.2,27.60128
server1,40.4,29.41504
server1,40.6,26.2144
server1,40.8,26.2144
server1,41.0,26.2144
server1,41.2,27.9488
server1,41.4,55.10816
server1,41.6,29.0096
server1,41.8,28.18048
server1,42.0,26.2144
server1,42.2,26.09856
server1,42.4,25.98272
server1,42.6,28.2384
server1,42.8,55.33984
server1,43.0,28.83584
server1,43.2,28.12256
server1,43.4,28.89376
server1,43.6,26.2144
server1,43.8,26.2144
server1,44.0,27.83296
server1,44.2,26.56192
server1,44.4,28.18048
server1,44.6,58.34848
server1,44.8,28.83584
server1,45.0,26.2144
server2,0.2,112.40864
server2,0.4,0.65536
server2,0.6,0.65536
server2,0.8,0.65536
server2,1.0,0.65536
server2,1.2,0.65536
server2,1.4,0.65536
server2,1.6,0.65536
server2,1.8,0.65536
server2,2.0,0.65536
server2,2.2,0.65536
server2,2.4,0.65536
server2,2.6,0.65536
server2,2.8,0.65536
server2,3.0,0.65536
server2,3.2,0.65536
server2,3.4,0.65536
server2,3.6,0.65536
server2,3.8,0.65536
server2,4.0,0.65536
server2,4.2,0.65536
server2,4.4,23.59296
server2,4.6,0.65536
server2,4.8,0.65536
server2,5.0,0.65536
server2,5.2,0.65536
server2,5.4,0.65536
server2,5.6,0.65536
server2,5.8,0.65536
server2,6.0,0.65536
server2,6.2,0.65536
server2,6.4,0.65536
server2,6.6,0.65536
server2,6.8,0.65536
server2,7.0,0.65536
server2,7.2,0.65536
server2,7.4,0.65536
server2,7.6,0.65536
server2,7.8,0.65536
server2,8.0,0.65536
server2,8.2,0.65536
server2,8.4,0.65536
server2,8.6,0.65536
server2,8.8,0.65536
server2,9.0,0.65536
server2,9.2,0.65536
server2,9.4,0.65536
server2,9.6,19.6608
server2,9.8,0.65536
server2,10.0,0.65536
server2,10.2,0.65536
server2,10.4,0.65536
server2,10.6,0.65536
server2,10.8,0.65536
server2,11.0,0.65536
server2,11.2,31.45728
server2,11.4,1.98752
server2,11.6,0.65536
server2,11.8,0.65536
server2,12.0,0.65536
server2,12.2,37.45312
server2,12.4,0.65536
server2,12.6,0.65536
server2,12.8,34.73408
server2,13.0,0.65536
server2,13.2,0.65536
server2,13.4,35.38944
server2,13.6,0.65536
server2,13.8,0.65536
server2,14.0,0.65536
server2,14.2,34.07872
server2,14.4,0.65536
server2,14.6,50.44544
server2,14.8,0.65536
server2,15.0,0.65536
server2,15.2,0.65536
server2,15.4,0.65536
server2,15.6,34.07872
server2,15.8,0.65536
server2,16.0,36.0448
server2,16.2,0.65536
server2,16.4,0.65536
server2,16.6,34.5024
server2,16.8,0.7712
server2,17.0,36.16064
server2,17.2,0.65536
server2,17.4,0.65536
server2,17.6,35.38944
server2,17.8,0.65536
server2,18.0,35.38944
server2,18.2,0.65536
server2,18.4,0.65536
server2,18.6,35.38944
server2,18.8,0.65536
server2,19.0,35.40768
server2,19.2,1.00288
server2,19.4,35.67904
server2,19.6,0.65536
server2,19.8,0.65536
server2,20.0,34.73408
server2,20.2,0.65536
server2,20.4,37.31904
server2,20.6,36.70016
server2,20.8,0.65536
server2,21.0,35.38944
server2,21.2,0.65536
server2,21.4,0.65536
server2,21.6,35.38944
server2,21.8,0.65536
server2,22.0,36.0448
server2,22.2,0.65536
server2,22.4,35.15776
server2,22.6,0.7712
server2,22.8,36.16064
server2,23.0,0.65536
server2,23.2,36.0448
server2,23.4,0.65536
server2,23.6,35.15776
server2,23.8,0.65536
server2,24.0,35.38944
server2,24.2,0.65536
server2,24.4,0.65536
server2,24.6,36.7216
server2,24.8,0.65536
server2,25.0,35.38944
server2,25.2,0.65536
server2,25.4,36.0448
server2,25.6,36.70016
server2,25.8,0.65536
server2,26.0,0.65536
server2,26.2,34.73408
server2,26.4,0.65536
server2,26.6,36.0448
server2,26.8,0.65536
server2,27.0,36.0448
server2,27.2,0.65536
server2,27.4,35.38944
server2,27.6,0.65536
server2,27.8,36.0448
server2,28.0,36.70016
server2,28.2,0.65536
server2,28.4,0.65536
server2,28.6,34.73408
server2,28.8,0.65536
server2,29.0,36.0448
server2,29.2,36.70016
server2,29.4,0.65536
server2,29.6,35.38944
server2,29.8,0.65536
server2,30.0,35.38944
server2,30.2,0.65536
server2,30.4,37.14528
server2,30.6,35.38944
server2,30.8,0.65536
server2,31.0,0.65536
server2,31.2,36.77952
server2,31.4,0.65536
server2,31.6,36.0448
server2,31.8,0.65536
server2,32.0,0.65536
server2,32.2,0.65536
server2,32.4,34.73408
server2,32.6,0.65536
server2,32.8,0.65536
server2,33.0,34.73408
server2,33.2,0.65536
server2,33.4,0.65536
server2,33.6,35.38944
server2,33.8,0.65536
server2,34.0,0.65536
server2,34.2,35.38944
server2,34.4,0.65536
server2,34.6,35.38944
server2,34.8,0.65536
server2,35.0,0.65536
server2,35.2,35.38944
server2,35.4,0.65536
server2,35.6,0.65536
server2,35.8,0.65536
server2,36.0,34.73408
server2,36.2,0.65536
server2,36.4,35.38944
server2,36.6,0.65536
server2,36.8,0.65536
server2,37.0,35.15776
server2,37.2,0.65536
server2,37.4,36.27648
server2,37.6,0.65536
server2,37.8,0.65536
server2,38.0,34.73408
server2,38.2,0.65536
server2,38.4,36.0448
server2,38.6,0.65536
server2,38.8,0.65536
server2,39.0,35.38944
