t,goodput_mbps,cwnd,rtt_ms,rttvar_ms,retrans,loss
0.2,70.02048,45,0.493,0.104,0,0.0
0.4,0.65536,45,0.493,0.104,0,0.0
0.6,19.6608,155,0.882,0.243,0,0.0
0.8,0.65536,155,0.882,0.243,0,0.0
1.0,0.65536,155,0.882,0.243,0,0.0
1.2,45.37536,186,0.751,0.045,0,0.0
1.4,60.96128,134,0.67,0.089,0,0.0
1.6,0.65536,134,0.67,0.089,0,0.0
1.8,26.19616,180,0.498,0.038,0,0.0
2.0,28.4304,186,0.987,0.28,0,0.0
2.2,0.65536,186,0.987,0.28,0,0.0
2.4,0.65536,186,0.987,0.28,0,0.0
2.6,31.6224,192,0.467,0.032,0,0.0
2.8,28.18048,192,0.49,0.077,0,0.0
3.0,0.65536,192,0.49,0.077,0,0.0
3.2,28.06464,134,0.442,0.04,1,5.0
3.4,28.66208,134,0.448,0.058,1,0.0
3.6,0.94496,134,0.456,0.046,1,0.0
3.8,28.18048,134,0.478,0.037,1,0.0
4.0,0.65536,134,0.478,0.037,1,0.0
4.2,27.52512,134,0.508,0.04,1,0.0
4.4,0.65536,134,0.508,0.04,1,0.0
4.6,25.55904,93,0.449,0.044,2,5.0
4.8,26.2144,93,0.519,0.066,2,0.0
5.0,0.65536,93,0.519,0.066,2,0.0
5.2,25.55904,65,0.457,0.022,3,5.0
5.4,28.18048,65,0.579,0.084,3,0.0
5.6,28.83584,65,0.551,0.033,3,0.0
5.8,0.65536,65,0.551,0.033,3,0.0
6.0,28.18048,45,0.572,0.012,4,5.0
6.2,0.65536,45,0.572,0.012,4,0.0
6.4,28.18048,45,0.5,0.027,4,0.0
6.6,27.52512,45,0.576,0.07,4,0.0
6.8,27.48864,45,0.411,0.092,4,0.0
7.0,0.65536,45,0.411,0.092,4,0.0
7.2,25.55904,31,0.478,0.051,5,5.0
7.4,26.2144,32,0.432,0.031,5,0.0
7.6,28.18048,23,0.502,0.034,6,5.0
7.8,0.65536,23,0.502,0.034,6,0.0
8.0,28.18048,24,0.538,0.129,6,0.0
8.2,28.83584,26,0.787,0.303,6,0.0
8.4,0.65536,26,0.787,0.303,6,0.0
8.6,28.18048,26,0.511,0.035,6,0.0
8.8,27.54336,26,0.439,0.068,6,0.0
9.0,0.65536,26,0.439,0.068,6,0.0
9.2,28.8176,26,0.49,0.038,6,0.0
9.4,26.2144,26,0.431,0.021,6,0.0
9.6,0.65536,26,0.431,0.021,6,0.0
9.8,25.55904,26,0.439,0.07,6,0.0
10.0,25.55904,26,0.594,0.117,6,0.0
10.2,28.83584,26,0.583,0.187,6,0.0
10.4,0.65536,26,0.583,0.187,6,0.0
10.6,28.18048,26,0.611,0.186,6,0.0
10.8,28.83584,28,0.435,0.025,6,0.0
11.0,28.12256,28,0.556,0.034,6,0.0
11.2,0.65536,28,0.556,0.034,6,0.0
11.4,28.2384,23,0.511,0.078,7,5.0
11.6,26.2144,25,0.42,0.024,7,0.0
11.8,26.2144,25,0.498,0.048,7,0.0
12.0,0.65536,25,0.498,0.048,7,0.0
12.2,25.50112,25,0.545,0.029,7,0.0
12.4,28.2384,24,0.539,0.091,8,5.0
12.6,28.83584,24,0.476,0.056,8,0.0
12.8,0.65536,24,0.476,0.056,8,0.0
13.0,27.54336,24,0.445,0.044,8,0.0
13.2,29.47296,24,0.5,0.043,8,0.0
13.4,28.18048,24,0.469,0.029,8,0.0
13.6,26.2144,24,0.45,0.02,8,0.0
13.8,26.2144,24,0.499,0.026,8,0.0
14.0,26.2144,24,0.531,0.054,8,0.0
14.2,28.18048,24,0.466,0.017,8,0.0
14.4,28.48832,24,0.42,0.015,8,0.0
14.6,29.18336,21,0.482,0.09,9,5.0
14.8,28.18048,31,0.518,0.024,9,0.0
15.0,24.90368,35,0.51,0.079,9,0.0
15.2,28.2416,35,0.429,0.013,9,0.0
15.4,26.2144,26,0.407,0.04,10,5.0
15.6,26.2144,26,0.576,0.122,10,0.0
15.8,28.18048,26,0.541,0.1,10,0.0
16.0,28.83584,22,0.468,0.041,11,5.0
16.2,28.66208,24,0.448,0.026,11,0.0
16.4,28.66208,24,0.414,0.031,11,0.0
16.6,27.87264,24,0.451,0.051,11,0.0
16.8,53.64512,27,0.726,0.277,11,0.0
17.0,25.55904,27,1.646,0.912,11,0.0
17.2,25.79072,23,3.663,0.385,12,5.0
17.4,29.82048,37,0.451,0.033,12,0.0
17.6,28.18048,37,0.377,0.035,12,0.0
17.8,29.2992,37,0.375,0.04,12,0.0
18.0,28.528,37,0.384,0.032,12,0.0
18.2,28.83584,37,0.41,0.06,12,0.0
18.4,26.2144,37,0.383,0.021,12,0.0
18.6,52.4288,26,0.463,0.084,13,5.0
18.8,28.00672,26,0.432,0.064,13,0.0
19.0,29.0096,26,0.45,0.058,13,0.0
19.2,28.83584,26,0.504,0.073,13,0.0
19.4,28.83584,26,0.411,0.039,13,0.0
19.6,28.18048,26,0.447,0.028,13,0.0
19.8,26.2144,26,0.413,0.057,13,0.0
20.0,26.2144,24,0.466,0.046,14,5.0
20.2,51.77344,23,0.418,0.029,15,5.0
20.4,28.83584,27,0.356,0.028,15,0.0
20.6,28.18048,27,0.368,0.028,15,0.0
20.8,29.5888,27,0.451,0.102,15,0.0
21.0,28.18048,24,0.428,0.04,16,5.0
21.2,26.2144,24,0.452,0.05,16,0.0
21.4,52.4288,24,0.429,0.047,16,0.0
21.6,28.18048,23,0.42,0.032,18,10.0
21.8,28.83584,23,0.402,0.043,18,0.0
22.0,28.83584,25,0.529,0.054,18,0.0
22.2,28.83584,25,0.525,0.033,18,0.0
22.4,27.52512,25,0.587,0.146,18,0.0
22.6,27.48864,27,0.502,0.059,18,0.0
22.8,26.2144,27,0.455,0.047,18,0.0
23.0,26.2144,27,0.398,0.041,18,0.0
23.2,57.01632,25,0.456,0.075,19,5.0
23.4,28.83584,25,0.528,0.099,19,0.0
23.6,28.83584,25,0.385,0.022,19,0.0
23.8,28.18048,25,0.472,0.017,19,0.0
24.0,28.83584,25,0.48,0.078,19,0.0
24.2,26.2144,25,0.382,0.069,19,0.0
24.4,26.04064,18,0.51,0.041,20,5.0
24.6,25.7328,24,0.543,0.075,20,0.0
24.8,28.25664,19,0.377,0.018,22,10.0
