flow_id,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,time_first_tx,time_last_rx,fct_sec,rx_bytes
1,10.0.0.2,10.0.1.2,49153,9001,49568,48736,0.100000000,1.183797432,1.083797432,69728324
3,10.0.0.2,10.0.2.2,49154,9002,51488,50464,0.100100000,1.189344351,1.089244351,69831388
5,10.0.0.2,10.0.3.2,49155,9003,48039,47015,0.100200000,1.189548508,1.089348508,69638248
7,10.0.0.2,10.0.4.2,49156,9004,53578,52234,0.100300000,1.186325792,1.086025792,69961836
9,10.0.0.2,10.0.5.2,49157,9005,52710,51430,0.100400000,1.194931880,1.094531880,69920716
11,10.0.0.2,10.0.6.2,49158,9006,47540,46708,0.100500000,1.199049566,1.098549566,69542116
13,10.0.0.2,10.0.7.2,49159,9007,47349,46581,0.100600000,1.208347014,1.107747014,69574608
14,10.0.0.2,10.0.8.2,49160,9008,47118,46478,0.100700000,1.206311859,1.105611859,69525724
16,10.0.0.2,10.0.9.2,49161,9009,46988,46412,0.100800000,1.189015338,1.088215338,69522292
18,10.0.0.2,10.0.10.2,49162,9010,47029,46453,0.100900000,1.209603408,1.108703408,69524424
20,10.0.0.2,10.0.11.2,49163,9011,46862,46350,0.101000000,1.201067822,1.100067822,69519068
22,10.0.0.2,10.0.12.2,49164,9012,46869,46357,0.101100000,1.221477780,1.120377780,69519432
24,10.0.0.2,10.0.13.2,49165,9013,46740,46356,0.101200000,1.189805627,1.088605627,69519380
26,10.0.0.2,10.0.14.2,49166,9014,46693,46373,0.101300000,0.136897979,0.035597979,69520264
28,10.0.0.2,10.0.15.2,49167,9015,46657,46401,0.101400000,0.129405888,0.028005888,69521720
30,10.0.0.2,10.0.16.2,49168,9016,46979,46403,0.101500000,2.184282997,2.082782997,69521824
32,10.0.0.2,10.0.17.2,49169,9017,47043,46403,0.101600000,1.245960608,1.144360608,69521824
34,10.0.0.2,10.0.18.2,49170,9018,47351,46350,0.101700000,1.267532282,1.165832282,69519068
36,10.0.0.2,10.0.19.2,49171,9019,47042,46402,0.101800000,1.245111905,1.143311905,69521772
38,10.0.0.2,10.0.20.2,49172,9020,47347,46455,0.101900000,2.194028494,2.092128494,69524528
40,10.0.0.2,10.0.21.2,49173,9021,46979,46404,0.102000000,1.245081994,1.143081994,69523324
42,10.0.0.2,10.0.22.2,49174,9022,46980,46404,0.102100000,1.245206340,1.143106340,69523324
44,10.0.0.2,10.0.23.2,49175,9023,46978,46402,0.102200000,1.244810552,1.142610552,69521772
46,10.0.0.2,10.0.24.2,49176,9024,48740,47636,0.102300000,2.190891877,2.088591877,69620692
48,10.0.0.2,10.0.25.2,49177,9025,48263,47419,0.102400000,2.188177779,2.085777779,69592200
50,10.0.0.2,10.0.26.2,49178,9026,48655,47887,0.102500000,2.185252906,2.082752906,69633672
52,10.0.0.2,10.0.27.2,49179,9027,49454,48430,0.102600000,2.183717782,2.081117782,69711564
54,10.0.0.2,10.0.28.2,49180,9028,49333,48373,0.102700000,2.184198182,2.081498182,69652216
56,10.0.0.2,10.0.29.2,49181,9029,49651,48435,0.102800000,2.134332437,2.031532437,69667624
58,10.0.0.2,10.0.30.2,49182,9030,49931,48126,0.102900000,2.190667247,2.087767247,69658444
60,10.0.0.2,10.0.31.2,49183,9031,48388,47492,0.103000000,2.186605125,2.083605125,69614316
62,10.0.1.2,10.0.0.2,49153,9000,47764,47252,0.103100000,0.133592499,0.030492499,69644180
65,10.0.1.2,10.0.2.2,49154,9002,49822,48734,0.103200000,1.215249193,1.112049193,69722444
67,10.0.1.2,10.0.3.2,49155,9003,51024,49808,0.103300000,1.228290634,1.124990634,69820620
69,10.0.1.2,10.0.4.2,49156,9004,47967,46879,0.103400000,1.228771100,1.125371100,69598792
71,10.0.1.2,10.0.5.2,49157,9005,50844,49692,0.103500000,1.229251998,1.125751998,69782892
73,10.0.1.2,10.0.6.2,49158,9006,50708,49556,0.103600000,1.229373137,1.125773137,69775820
75,10.0.1.2,10.0.7.2,49159,9007,47371,46603,0.103700000,1.230445587,1.126745587,69535120
77,10.0.1.2,10.0.8.2,49160,9008,47071,46431,0.103800000,1.213789747,1.109989747,69523280
78,10.0.1.2,10.0.9.2,49161,9009,46991,46415,0.103900000,1.220287828,1.116387828,69522448
80,10.0.1.2,10.0.10.2,49162,9010,47002,46426,0.104000000,1.230839914,1.126839914,69523020
82,10.0.1.2,10.0.11.2,49163,9011,46862,46350,0.104100000,1.228487809,1.124387809,69519068
84,10.0.1.2,10.0.12.2,49164,9012,46799,46351,0.104200000,1.228981061,1.124781061,69519120
86,10.0.1.2,10.0.13.2,49165,9013,46798,46350,0.104300000,1.229305968,1.125005968,69519068
88,10.0.1.2,10.0.14.2,49166,9014,46694,46374,0.104400000,0.135635092,0.031235092,69520316
90,10.0.1.2,10.0.15.2,49167,9015,46734,46350,0.104500000,1.229434330,1.124934330,69519068
92,10.0.1.2,10.0.16.2,49168,9016,47181,46349,0.104600000,1.248130999,1.143530999,69519016
94,10.0.1.2,10.0.17.2,49169,9017,47000,46402,0.104700000,1.250321368,1.145621368,69521772
96,10.0.1.2,10.0.18.2,49170,9018,47096,46456,0.104800000,1.249468130,1.144668130,69524580
98,10.0.1.2,10.0.19.2,49171,9019,46913,46402,0.104900000,1.251208484,1.146308484,69521772
100,10.0.1.2,10.0.20.2,49172,9020,46980,46404,0.105000000,1.249397060,1.144397060,69521876
102,10.0.1.2,10.0.21.2,49173,9021,46914,46402,0.105100000,1.249478293,1.144378293,69521772
