flow_id,src_ip,dst_ip,src_port,dst_port,tx_packets,rx_packets,time_first_tx,time_last_rx,fct_sec,rx_bytes
1,10.0.0.2,10.0.1.2,49153,9001,47308,47116,0.100000000,0.186654065,0.086654065,69612228
3,10.0.0.2,10.0.2.2,49154,9002,46466,46402,0.100100000,0.196832585,0.096732585,69521772
5,10.0.0.2,10.0.3.2,49155,9003,47030,46966,0.100200000,0.198933668,0.098733668,69568476
7,10.0.0.2,10.0.4.2,49156,9004,56696,56696,0.100300000,0.200887499,0.100587499,70057060
9,10.0.0.2,10.0.5.2,49157,9005,56696,56696,0.100400000,0.202560661,0.102160661,70057060
11,10.0.0.2,10.0.6.2,49158,9006,56696,56696,0.100500000,0.207247311,0.106747311,70057060
13,10.0.0.2,10.0.7.2,49159,9007,56696,56696,0.100600000,0.199378911,0.098778911,70057060
15,10.0.0.2,10.0.8.2,49160,9008,56696,56696,0.100700000,0.204277512,0.103577512,70057060
17,10.0.0.2,10.0.9.2,49161,9009,56696,56696,0.100800000,0.201462112,0.100662112,70057060
19,10.0.0.2,10.0.10.2,49162,9010,57032,57032,0.100900000,0.204356293,0.103456293,70074532
21,10.0.0.2,10.0.11.2,49163,9011,56696,56696,0.101000000,0.204240316,0.103240316,70057060
23,10.0.0.2,10.0.12.2,49164,9012,56683,56683,0.101100000,0.209951947,0.108851947,70056384
25,10.0.0.2,10.0.13.2,49165,9013,56696,56696,0.101200000,0.204606717,0.103406717,70057060
27,10.0.0.2,10.0.14.2,49166,9014,46476,46412,0.101300000,0.203121058,0.101821058,69522292
29,10.0.0.2,10.0.15.2,49167,9015,46472,46408,0.101400000,0.203811919,0.102411919,69522084
30,10.0.0.2,10.0.16.2,49168,9016,46632,46349,0.101500000,1.214305430,1.112805430,69519016
32,10.0.0.2,10.0.17.2,49169,9017,46624,46349,0.101600000,1.214680572,1.113080572,69519016
34,10.0.0.2,10.0.18.2,49170,9018,46875,46349,0.101700000,1.226760872,1.125060872,69519016
36,10.0.0.2,10.0.19.2,49171,9019,46769,46351,0.101800000,1.218765037,1.116965037,69520568
38,10.0.0.2,10.0.20.2,49172,9020,46994,46349,0.101900000,1.228204624,1.126304624,69519016
40,10.0.0.2,10.0.21.2,49173,9021,46634,46349,0.102000000,1.214706202,1.112706202,69519016
42,10.0.0.2,10.0.22.2,49174,9022,46640,46350,0.102100000,1.214881445,1.112781445,69519068
44,10.0.0.2,10.0.23.2,49175,9023,46643,46351,0.102200000,1.214999270,1.112799270,69519120
46,10.0.0.2,10.0.24.2,49176,9024,46863,46349,0.102300000,1.223470671,1.121170671,69519016
48,10.0.0.2,10.0.25.2,49177,9025,46645,46350,0.102400000,1.215096412,1.112696412,69519068
50,10.0.0.2,10.0.26.2,49178,9026,46652,46350,0.102500000,1.215228373,1.112728373,69519068
52,10.0.0.2,10.0.27.2,49179,9027,46636,46350,0.102600000,1.215013489,1.112413489,69519068
54,10.0.0.2,10.0.28.2,49180,9028,46648,46351,0.102700000,1.215135325,1.112435325,69519120
56,10.0.0.2,10.0.29.2,49181,9029,46656,46350,0.102800000,1.215443097,1.112643097,69519068
58,10.0.0.2,10.0.30.2,49182,9030,46973,46349,0.102900000,1.226560712,1.123660712,69519016
60,10.0.0.2,10.0.31.2,49183,9031,46702,46350,0.103000000,1.215141528,1.112141528,69519068
62,10.0.1.2,10.0.0.2,49153,9000,56728,56728,0.103100000,0.208148239,0.105048239,70058724
65,10.0.1.2,10.0.2.2,49154,9002,49334,49270,0.103200000,0.189628425,0.086428425,69688884
67,10.0.1.2,10.0.3.2,49155,9003,47588,47524,0.103300000,0.199751124,0.096451124,69598092
69,10.0.1.2,10.0.4.2,49156,9004,46868,46804,0.103400000,0.201236370,0.097836370,69561164
71,10.0.1.2,10.0.5.2,49157,9005,46949,46885,0.103500000,0.203374999,0.099874999,69564016
73,10.0.1.2,10.0.6.2,49158,9006,46908,46844,0.103600000,0.208740797,0.105140797,69562132
75,10.0.1.2,10.0.7.2,49159,9007,46797,46733,0.103700000,0.201558425,0.097858425,69556360
77,10.0.1.2,10.0.8.2,49160,9008,46791,46727,0.103800000,0.205900021,0.102100021,69556048
79,10.0.1.2,10.0.9.2,49161,9009,47187,47123,0.103900000,0.202984080,0.099084080,69577240
81,10.0.1.2,10.0.10.2,49162,9010,46689,46625,0.104000000,0.207135397,0.103135397,69547512
83,10.0.1.2,10.0.11.2,49163,9011,46695,46631,0.104100000,0.205555276,0.101455276,69551056
85,10.0.1.2,10.0.12.2,49164,9012,46684,46620,0.104200000,0.204788526,0.100588526,69536004
87,10.0.1.2,10.0.13.2,49165,9013,56696,56696,0.104300000,0.206510790,0.102210790,70057060
89,10.0.1.2,10.0.14.2,49166,9014,56696,56696,0.104400000,0.205009188,0.100609188,70057060
91,10.0.1.2,10.0.15.2,49167,9015,46466,46402,0.104500000,0.205906465,0.101406465,69521772
93,10.0.1.2,10.0.16.2,49168,9016,46649,46350,0.104600000,1.214328362,1.109728362,69519068
94,10.0.1.2,10.0.17.2,49169,9017,46650,46350,0.104700000,1.214621792,1.109921792,69519068
96,10.0.1.2,10.0.18.2,49170,9018,46724,46350,0.104800000,1.219001149,1.114201149,69519068
98,10.0.1.2,10.0.19.2,49171,9019,46709,46350,0.104900000,1.219154741,1.114254741,69519068
100,10.0.1.2,10.0.20.2,49172,9020,46532,46350,0.105000000,1.215476554,1.110476554,69519068
102,10.0.1.2,10.0.21.2,49173,9021,46533,46350,0.105100000,1.215721503,1.110621503,69519068
104,10.0.1.2,10.0.22.2,49174,9022,46863,46349,0.105200000,1.225595082,1.120395082,69519016
106,10.0.1.2,10.0.23.2,49175,9023,46533,46349,0.105300000,1.215837689,1.110537689,69519016
108,10.0.1.2,10.0.24.2,49176,9024,46536,46351,0.105400000,1.216148149,1.110748149,69519120
110,10.0.1.2,10.0.25.2,49177,9025,46588,46349,0.105500000,1.216060017,1.110560017,69519016
